season,team_1,team_2,home,score_diff,score_1,score_2,won
1985,7000,4332,1,14,80,66,1
1985,7540,5445,1,4,71,67,1
1985,7659,7760,1,2,65,63,1
1985,7889,1253,0,31,91,60,1
1985,8025,4400,0,4,71,67,1
1985,8127,1482,1,12,94,82,1
1985,8239,1414,1,13,84,71,1
1985,9470,8205,0,14,73,59,1
1985,9697,3364,1,6,76,70,1
1985,9847,322,1,11,68,57,1
1985,9952,5715,1,12,94,82,1
1985,10054,10122,0,11,68,57,1
1985,10088,5043,1,45,91,46,1
1985,10366,8984,0,2,59,57,1
1985,10564,6796,1,5,63,58,1
1985,10786,2476,1,1,71,70,1
1985,288,4630,1,7,82,75,1
1985,356,7088,1,29,85,56,1
1985,832,798,1,4,67,63,1
1985,1779,10820,0,18,95,77,1
1985,2082,2442,0,21,76,55,1
1985,2306,2544,1,7,80,73,1
1985,2675,900,0,15,61,46,1
1985,2779,8171,0,14,82,68,1
1985,3404,6046,1,6,69,63,1
1985,3559,8950,1,12,93,81,1
1985,3643,10400,1,21,77,56,1
1985,3954,3920,0,4,54,50,1
1985,4115,7255,1,2,52,50,1
1985,4873,4698,1,7,74,67,1
1985,5111,8609,0,18,89,71,1
1985,5810,3098,0,1,97,96,1
1985,6114,6080,0,3,67,64,1
1985,6542,3818,1,11,74,63,1
1985,7167,3525,0,10,84,74,1
1985,7459,7133,1,13,54,41,1
1985,7625,3438,0,1,83,82,1
1985,7828,6012,1,22,87,65,1
1985,8059,4264,0,2,56,54,1
1985,8541,9881,1,16,73,57,1
1985,8662,1207,1,4,52,48,1
1985,8712,6338,1,18,76,58,1
1985,8814,3302,1,15,80,65,1
1985,9663,10752,1,10,67,57,1
1985,9765,10434,1,6,65,59,1
1985,9799,1047,0,4,97,93,1
1985,9884,7357,0,9,69,60,1
1985,764,908,0,20,90,70,1
1985,866,8746,1,1,57,56,1
1985,1414,213,1,27,74,47,1
1985,1711,1677,1,6,70,64,1
1985,2204,3779,0,13,84,71,1
1985,2238,1081,1,22,89,67,1
1985,2340,254,1,34,98,64,1
1985,2878,4058,0,1,61,60,1
1985,3370,4771,0,7,78,71,1
1985,3852,1013,1,26,78,52,1
1985,4183,5348,1,9,67,58,1
1985,4230,2408,1,5,62,57,1
1985,4400,10298,1,9,83,74,1
1985,4732,5314,1,25,89,64,1
1985,4805,7959,1,3,59,56,1
1985,4839,7391,0,5,73,68,1
1985,4941,1550,1,11,95,84,1
1985,5077,5715,1,13,90,77,1
1985,5178,7201,0,5,84,79,1
1985,5212,10854,1,30,103,73,1
1985,5749,2641,1,8,58,50,1
1985,5929,5884,1,47,101,54,1
1985,6732,8439,1,24,87,63,1
1985,6932,5850,1,3,66,63,1
1985,7540,8473,0,9,73,64,1
1985,8127,1516,1,5,71,66,1
1985,8239,1253,0,21,97,76,1
1985,8303,6180,1,23,88,65,1
1985,8371,9078,1,4,90,86,1
1985,8405,2912,1,1,47,46,1
1985,8916,6766,1,1,71,70,1
1985,9137,6214,0,1,55,54,1
1985,9269,7493,1,17,73,56,1
1985,9368,2813,0,5,67,62,1
1985,9470,6508,1,19,85,66,1
1985,9731,1925,1,8,72,64,1
1985,10020,5479,1,15,77,62,1
1985,10332,2048,0,14,69,55,1
1985,10468,7425,1,5,70,65,1
1985,10598,10054,1,1,54,53,1
1985,900,5043,0,13,82,69,1
1985,1779,4975,1,12,64,52,1
1985,3745,5382,0,15,65,50,1
1985,4332,7133,1,2,45,43,1
1985,4664,3525,1,14,87,73,1
1985,4873,6474,0,9,53,44,1
1985,6508,1253,0,10,72,62,1
1985,7289,6046,1,8,82,74,1
1985,7693,7659,1,4,57,53,1
1985,8093,9368,1,17,83,66,1
1985,8541,3609,0,2,49,47,1
1985,8950,9697,1,12,80,68,1
1985,9470,8239,1,12,90,78,1
1985,9952,9986,1,18,73,55,1
1985,10122,7255,1,2,53,51,1
1985,10366,8507,1,20,68,48,1
1985,10400,3268,1,6,62,56,1
1985,10752,4480,1,24,73,49,1
1985,322,4400,1,17,81,64,1
1985,2607,2150,0,3,63,60,1
1985,3677,10298,0,24,92,68,1
1985,3711,5009,0,13,82,69,1
1985,3745,1745,1,24,72,48,1
1985,3886,952,1,13,81,68,1
1985,3920,798,1,14,67,53,1
1985,4366,832,0,17,91,74,1
1985,4514,8337,1,5,68,63,1
1985,4562,4596,0,9,73,64,1
1985,5513,3200,1,12,74,62,1
1985,6114,220,0,6,75,69,1
1985,6372,356,0,7,70,63,1
1985,6595,10564,0,1,56,55,1
1985,6830,7034,1,15,69,54,1
1985,6864,6663,1,13,80,67,1
1985,7540,5850,1,3,75,72,1
1985,8171,2813,1,28,87,59,1
1985,8609,4839,1,2,59,57,1
1985,8662,4771,1,19,84,65,1
1985,8984,9663,0,4,63,59,1
1985,9847,10190,0,34,83,49,1
1985,10224,8371,1,16,83,67,1
1985,10786,3014,0,8,87,79,1
1985,5,213,1,29,85,56,1
1985,220,1745,0,14,70,56,1
1985,288,6406,0,21,82,61,1
1985,322,10786,1,4,71,67,1
1985,356,3200,0,8,76,68,1
1985,410,5445,1,14,70,56,1
1985,513,5111,1,1,70,69,1
1985,730,1414,1,20,81,61,1
1985,832,4771,0,2,55,53,1
1985,900,9881,1,3,59,56,1
1985,952,10298,0,5,67,62,1
1985,1448,5178,0,3,80,77,1
1985,1482,1312,1,9,62,53,1
1985,1516,547,1,27,89,62,1
1985,2048,1346,0,6,70,64,1
1985,2116,4664,1,5,84,79,1
1985,2204,6542,1,12,95,83,1
1985,2238,9044,0,10,65,55,1
1985,2340,10054,1,13,78,65,1
1985,2476,1550,1,4,109,105,1
1985,2641,3852,1,2,72,70,1
1985,2779,4058,1,13,83,70,1
1985,2912,3491,1,20,93,73,1
1985,3014,4400,0,27,76,49,1
1985,3132,9629,1,36,82,46,1
1985,3370,4975,1,4,63,59,1
1985,3525,479,1,2,76,74,1
1985,3559,4732,1,8,81,73,1
1985,3609,9078,1,7,67,60,1
1985,3711,6595,0,8,72,64,1
1985,3745,6114,1,38,93,55,1
1985,3779,10502,0,3,52,49,1
1985,3818,4264,1,13,81,68,1
1985,3886,3677,1,5,74,69,1
1985,3920,8984,1,10,58,48,1
1985,3954,2272,1,1,74,73,1
1985,4183,6440,1,13,72,59,1
1985,4298,6180,0,5,63,58,1
1985,4562,10224,0,5,59,54,1
1985,4596,8371,0,13,76,63,1
1985,4630,1925,0,4,73,69,1
1985,4839,2150,0,5,55,50,1
1985,4873,5810,1,9,61,52,1
1985,4941,73,0,3,59,56,1
1985,5009,10564,0,4,60,56,1
1985,5077,9402,1,16,86,70,1
1985,5212,2082,0,9,87,78,1
1985,5280,7133,1,2,46,44,1
1985,5314,7625,1,14,80,66,1
1985,5382,8848,1,20,86,66,1
1985,5513,6372,1,1,81,80,1
1985,5749,8814,0,17,75,58,1
1985,5850,10190,0,6,80,74,1
1985,5884,5615,1,41,110,69,1
1985,5929,10156,1,36,103,67,1
1985,5978,1880,0,5,78,73,1
1985,6012,1139,1,12,92,80,1
1985,6148,588,1,10,80,70,1
1985,6214,8239,0,1,77,76,1
1985,6281,6766,1,22,87,65,1
1985,6629,1779,0,7,72,65,1
1985,6664,4698,1,33,115,82,1
1985,6698,444,1,20,75,55,1
1985,6732,10598,0,5,62,57,1
1985,6796,1677,1,19,79,60,1
1985,6830,3268,1,16,62,46,1
1985,7000,7425,1,20,82,62,1
1985,7167,7289,1,1,53,52,1
1985,7201,8127,1,22,85,63,1
1985,7323,9137,1,3,58,55,1
1985,7391,7255,1,16,82,66,1
1985,7659,7794,1,16,76,60,1
1985,7828,6663,1,15,74,59,1
1985,8025,6046,0,7,73,66,1
1985,8059,1253,1,18,97,79,1
1985,8093,9235,1,19,89,70,1
1985,8303,1207,0,23,67,44,1
1985,8439,2709,1,17,81,64,1
1985,8473,3364,0,2,66,64,1
1985,8609,2607,1,10,65,55,1
1985,8662,4366,1,10,68,58,1
1985,8746,6898,0,13,70,57,1
1985,8780,9986,1,37,85,48,1
1985,8882,4480,1,24,86,62,1
1985,8916,9201,0,21,74,53,1
1985,9167,10854,1,18,67,49,1
1985,9317,3438,0,5,87,82,1
1985,9436,8205,1,11,73,62,1
1985,9663,798,0,13,83,70,1
1985,9731,8712,1,2,76,74,1
1985,9799,9765,1,13,92,79,1
1985,9847,7540,0,2,77,75,1
1985,9884,3098,1,9,87,78,1
1985,9952,622,0,3,84,81,1
1985,10088,7493,1,43,108,65,1
1985,10332,254,1,2,64,62,1
1985,10400,7760,1,2,60,58,1
1985,10434,1047,1,8,87,79,1
1985,10468,4907,1,12,89,77,1
1985,10664,1081,1,11,74,63,1
1985,10820,2014,1,5,81,76,1
1985,2675,4514,0,2,75,73,1
1985,5479,8337,0,2,53,51,1
1985,6542,9918,0,31,88,57,1
1985,8405,7459,0,16,77,61,1
1985,73,554,1,20,68,48,1
1985,179,2813,1,34,112,78,1
1985,288,9201,0,25,85,60,1
1985,1312,675,1,15,79,64,1
1985,2946,4907,1,5,63,58,1
1985,3048,547,1,17,64,47,1
1985,3370,1846,1,4,70,66,1
1985,4149,7493,1,27,81,54,1
1985,4562,588,1,14,73,59,1
1985,5212,10258,1,24,83,59,1
1985,5246,8541,1,12,50,38,1
1985,5382,8780,1,9,70,61,1
1985,5581,8814,1,2,87,85,1
1985,5884,9595,1,4,70,66,1
1985,5978,10752,1,14,79,65,1
1985,7034,1925,0,1,54,53,1
1985,7167,3609,1,17,70,53,1
1985,7357,1173,1,16,74,58,1
1985,7425,4400,0,9,73,64,1
1985,7540,1414,1,5,92,87,1
1985,8239,9470,1,17,98,81,1
1985,9697,8950,1,15,78,63,1
1985,9731,7323,1,15,80,65,1
1985,213,4480,1,1,54,53,1
1985,764,7289,1,20,70,50,1
1985,798,4975,0,1,71,70,1
1985,866,2980,0,12,59,47,1
1985,2709,1779,0,7,81,74,1
1985,2912,7959,1,4,74,70,1
1985,3166,3234,0,1,60,59,1
1985,3404,2014,0,15,71,56,1
1985,3491,4839,1,9,73,64,1
1985,3818,3954,0,2,69,67,1
1985,3852,5280,1,8,94,86,1
1985,4298,8439,1,5,74,69,1
1985,4332,4805,1,1,53,52,1
1985,4941,6629,1,3,76,73,1
1985,5077,5314,0,5,57,52,1
1985,5348,8205,1,18,71,53,1
1985,6180,6898,1,6,79,73,1
1985,6406,2510,1,15,83,68,1
1985,7693,7794,1,15,84,69,1
1985,8025,1643,1,23,68,45,1
1985,9137,7889,1,11,73,62,1
1985,9799,1047,1,1,92,91,1
1985,9847,6114,1,21,83,62,1
1985,10224,2641,1,17,88,71,1
1985,10400,5513,0,1,54,53,1
1985,513,7255,1,22,79,57,1
1985,832,39,1,11,64,53,1
1985,1448,9269,1,2,69,67,1
1985,2204,6932,0,17,78,61,1
1985,2946,6148,1,18,50,32,1
1985,3132,220,1,22,86,64,1
1985,3886,8337,1,12,72,60,1
1985,3920,3200,1,49,89,40,1
1985,4771,9918,1,2,63,61,1
1985,5111,547,0,34,91,57,1
1985,5178,2082,1,5,69,64,1
1985,5212,2476,1,11,83,72,1
1985,5246,10190,0,32,93,61,1
1985,5479,900,1,1,60,59,1
1985,5651,3302,0,17,77,60,1
1985,5749,7540,0,6,66,60,1
1985,5978,10664,1,2,53,51,1
1985,6180,3370,1,3,67,64,1
1985,6766,8882,1,11,82,71,1
1985,7459,10298,1,6,70,64,1
1985,8405,2048,0,26,77,51,1
1985,8662,8303,0,12,71,59,1
1985,9663,356,1,8,76,68,1
1985,9881,1207,1,8,69,61,1
1985,2544,1173,1,2,58,56,1
1985,4698,4514,1,7,89,82,1
1985,4941,5043,1,39,87,48,1
1985,5513,9317,1,15,83,68,1
1985,7425,2374,0,6,65,59,1
1985,410,1312,1,19,74,55,1
1985,1047,5445,1,20,66,46,1
1985,2272,6338,1,4,63,59,1
1985,3491,7828,0,13,80,67,1
1985,3818,10224,1,23,80,57,1
1985,4562,126,0,23,80,57,1
1985,4907,3048,1,1,70,69,1
1985,6698,7659,0,10,62,52,1
1985,7889,6508,0,3,72,69,1
1985,8059,3643,1,19,90,71,1
1985,8439,8609,0,2,57,55,1
1985,8780,8205,1,16,89,73,1
1985,8916,9918,0,10,76,66,1
1985,9436,2306,1,19,71,52,1
1985,9799,10434,1,21,104,83,1
1985,10088,3954,0,27,80,53,1
1985,10664,2014,1,20,90,70,1
1985,10752,1677,1,4,72,68,1
1985,39,5043,1,14,67,53,1
1985,322,6406,1,6,67,61,1
1985,410,9167,0,4,70,66,1
1985,554,8814,0,2,65,63,1
1985,764,3525,0,22,85,63,1
1985,832,5581,1,6,66,60,1
1985,1047,3491,1,10,86,76,1
1985,1207,8371,0,9,89,80,1
1985,1346,2980,1,6,71,65,1
1985,1516,5715,1,6,81,75,1
1985,1779,7289,1,30,93,63,1
1985,2306,6508,0,10,92,82,1
1985,2442,547,1,23,87,64,1
1985,2641,356,1,7,72,65,1
1985,2709,6046,1,9,73,64,1
1985,3048,126,0,35,91,56,1
1985,3132,2204,1,20,77,57,1
1985,3166,3200,1,36,89,53,1
1985,3234,5929,0,2,66,64,1
1985,3404,4805,1,5,56,51,1
1985,3643,7659,0,12,75,63,1
1985,3711,4514,1,4,66,62,1
1985,3745,7493,1,36,83,47,1
1985,3779,2238,1,3,76,73,1
1985,3818,8439,1,37,81,44,1
1985,3852,588,0,5,91,86,1
1985,3886,2374,1,14,81,67,1
1985,3954,8205,0,1,73,72,1
1985,4058,675,1,20,86,66,1
1985,4149,3559,1,12,87,75,1
1985,4183,4873,0,1,55,54,1
1985,4230,1550,1,10,79,69,1
1985,4562,4907,0,6,69,63,1
1985,4596,4264,1,7,71,64,1
1985,4698,866,0,11,59,48,1
1985,4771,900,1,1,64,63,1
1985,4839,5479,1,18,72,54,1
1985,4975,6372,1,1,67,66,1
1985,5077,5348,0,9,68,59,1
1985,5246,5382,1,18,79,61,1
1985,5280,6796,0,4,57,53,1
1985,5314,6148,1,4,55,51,1
1985,5978,8984,0,5,79,74,1
1985,6012,6966,1,5,94,89,1
1985,6180,8405,1,3,62,59,1
1985,6214,3302,0,10,73,63,1
1985,6281,10332,0,6,79,73,1
1985,6474,5810,1,5,64,59,1
1985,6629,9137,1,5,76,71,1
1985,6732,4115,1,8,65,57,1
1985,6830,730,0,15,74,59,1
1985,7000,10468,1,19,84,65,1
1985,7034,9317,1,17,86,69,1
1985,7391,8337,1,5,71,66,1
1985,7459,220,1,19,89,70,1
1985,7540,5651,1,16,92,76,1
1985,7693,4480,0,2,62,60,1
1985,7794,4630,1,10,78,68,1
1985,7828,5445,0,12,85,73,1
1985,7889,9436,0,3,83,80,1
1985,7959,3370,1,26,89,63,1
1985,8059,6698,1,17,82,65,1
1985,8127,9368,1,43,89,46,1
1985,8171,10786,0,11,61,50,1
1985,8541,5615,0,35,103,68,1
1985,8712,6663,1,11,71,60,1
1985,8746,4298,0,11,65,54,1
1985,8780,10088,1,11,86,75,1
1985,8848,1380,1,5,64,59,1
1985,8916,2272,0,17,66,49,1
1985,9044,179,1,12,82,70,1
1985,9269,2607,1,15,72,57,1
1985,9402,213,1,48,98,50,1
1985,9731,7088,0,11,69,58,1
1985,9847,4366,1,7,69,62,1
1985,9884,2082,1,10,71,61,1
1985,9918,6338,0,16,79,63,1
1985,9952,7133,1,21,68,47,1
1985,10020,6898,0,13,80,67,1
1985,10224,8609,0,23,70,47,1
1985,10434,2510,1,51,98,47,1
1985,10752,3364,1,7,51,44,1
1985,10854,8093,1,1,74,73,1
1985,1414,6508,0,12,90,78,1
1985,73,9765,0,16,73,57,1
1985,1414,5009,0,11,68,57,1
1985,1711,213,0,31,72,41,1
1985,2082,9368,1,10,71,61,1
1985,2272,9137,1,2,58,56,1
1985,2340,2048,1,17,82,65,1
1985,2476,39,1,15,68,53,1
1985,3166,1312,1,37,85,48,1
1985,3200,547,1,4,73,69,1
1985,3268,5547,1,13,78,65,1
1985,3593,6214,1,1,62,61,1
1985,4562,6508,0,28,78,50,1
1985,5077,4230,0,17,74,57,1
1985,5212,179,1,3,84,81,1
1985,5280,288,0,9,88,79,1
1985,6080,6114,0,15,87,72,1
1985,6148,3098,1,20,87,67,1
1985,6595,4907,0,5,76,71,1
1985,6966,7794,0,2,65,63,1
1985,7201,2641,1,25,82,57,1
1985,8059,1173,1,20,90,70,1
1985,8848,8205,1,5,72,67,1
1985,9167,2306,1,24,86,62,1
1985,9269,5348,1,2,65,63,1
1985,9952,2442,1,14,73,59,1
1985,410,9731,0,7,74,67,1
1985,832,7133,1,1,60,59,1
1985,1139,2014,1,27,71,44,1
1985,1880,3438,0,2,79,77,1
1985,3234,5884,1,38,81,43,1
1985,3711,4630,0,1,59,58,1
1985,3745,1448,0,22,87,65,1
1985,4698,9044,1,12,78,66,1
1985,5246,3014,0,14,68,54,1
1985,6698,6766,1,21,92,71,1
1985,6830,7828,0,2,64,62,1
1985,7889,1414,1,13,85,72,1
1985,8171,10854,1,7,63,56,1
1985,8507,8575,1,5,61,56,1
1985,8712,1173,1,16,58,42,1
1985,8780,1346,1,10,86,76,1
1985,9629,6012,1,9,86,77,1
1985,1047,9402,1,8,89,81,1
1985,1414,3609,1,12,78,66,1
1985,1516,2980,0,2,55,53,1
1985,1711,9697,0,12,89,77,1
1985,2238,2476,1,5,85,80,1
1985,2340,6474,0,21,76,55,1
1985,2510,5547,1,8,81,73,1
1985,2675,7167,0,2,55,53,1
